"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2166","TC_L_003 | Login (username password invalid)","firefox","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
"","9448","TC_A_001 | Click About","firefox","2026-04-22","passed","2026-04-22","","About-positive.spec.js","",""
"","2687","TC_A_001 | Click About","chromium","2026-04-22","passed","2026-04-22","","About-positive.spec.js","",""
"","2088","TC_L_001 | Login Positif","firefox","2026-04-22","passed","2026-04-22","","Login-positive.spec.js","",""
"","2038","TC_C_001 | Add To Cart & Checkout Product","chromium","2026-04-22","passed","2026-04-22","","Checkout-positive.spec.js","",""
"","1158","TC_L_003 | Login (password invalid)","chromium","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
"","1312","TC_P_001 | Look for detail product","chromium","2026-04-22","passed","2026-04-22","","Product-positive.spec.js","",""
"","1047","TC_L_003 | Login (username password invalid)","chromium","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
"","2281","TC_L_002 | Login (username invalid)","firefox","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
"","6087","TC_C_001 | Add To Cart & Checkout Product","firefox","2026-04-22","passed","2026-04-22","","Checkout-positive.spec.js","",""
"","2354","TC_P_002 | Sort by product","webkit","2026-04-22","passed","2026-04-22","","Product-positive.spec.js","",""
"","2574","TC_L_001 | Login Positif","webkit","2026-04-22","passed","2026-04-22","","Login-positive.spec.js","",""
"","1189","TC_L_001 | Login Positif","chromium","2026-04-22","passed","2026-04-22","","Login-positive.spec.js","",""
"","8849","TC_A_001 | Click About","webkit","2026-04-22","passed","2026-04-22","","About-positive.spec.js","",""
"","2258","TC_L_003 | Login (username password invalid)","webkit","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
"","3033","TC_L_001 | Login Positif","webkit","2026-04-22","passed","2026-04-22","","Logout-positive.spec.js","",""
"","2425","TC_L_001 | Login Positif","chromium","2026-04-22","passed","2026-04-22","","Logout-positive.spec.js","",""
"","6598","TC_C_001 | Add To Cart & Checkout Product","webkit","2026-04-22","passed","2026-04-22","","Checkout-positive.spec.js","",""
"","2134","TC_L_003 | Login (password invalid)","firefox","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
"","1059","TC_P_002 | Sort by product","chromium","2026-04-22","passed","2026-04-22","","Product-positive.spec.js","",""
"","2161","TC_L_003 | Login (password invalid)","webkit","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
"","2856","TC_P_001 | Look for detail product","webkit","2026-04-22","passed","2026-04-22","","Product-positive.spec.js","",""
"","3205","TC_L_001 | Login Positif","firefox","2026-04-22","passed","2026-04-22","","Logout-positive.spec.js","",""
"","1712","TC_P_001 | Look for detail product","firefox","2026-04-22","passed","2026-04-22","","Product-positive.spec.js","",""
"","1646","TC_P_002 | Sort by product","firefox","2026-04-22","passed","2026-04-22","","Product-positive.spec.js","",""
"","1340","TC_L_002 | Login (username invalid)","chromium","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
"","2330","TC_L_002 | Login (username invalid)","webkit","2026-04-22","passed","2026-04-22","","Login-negative.spec.js","",""
